credit_score	income	loan_amount	loan_term	interest_rate	debt_to_income_ratio	employment_years	savings_balance	age	default_risk_score
810	107410	11924	48	7.97	43.29	32	27181	58	7634.543366
418	37482	19291	24	6.94	11.01	33	15089	43	6249.833059
724	85641	39501	36	8.59	37.11	0	97459	33	2148.11799
444	73331	25714	36	13.09	33.39	18	2413	48	4979.385344
440	46723	35651	36	8.3	46.21	6	9716	42	2993.85195
634	149410	7520	36	8.56	35.98	12	57089	66	8572.770742
422	86150	36910	12	11.73	46.69	30	60119	27	2758.649581
679	99671	7307	12	3.38	42.58	3	2739	34	8624.958225
526	141041	33270	48	12.56	17.24	8	10619	36	3463.51923
582	106652	22921	48	14.14	43.1	3	20661	47	5514.511014
551	58890	36010	36	11.66	45.44	26	13362	37	2924.560428
771	39541	26675	60	7.49	29.14	5	16939	59	4728.648156
307	70108	44951	36	4.6	34.04	4	27785	64	1187.621649
553	68364	5097	48	10.71	19.65	12	13703	54	9088.107745
773	66167	41727	24	12.82	43.84	15	76508	55	1693.221751
546	53660	44905	48	13.19	18.35	3	38170	35	1116.93185
302	131925	8390	12	3.59	22.68	6	86130	30	8485.307984
471	139076	34328	12	9.42	44	22	28840	45	3255.718584
670	105112	18937	60	7.54	46.71	28	86338	41	6266.136622
745	145150	40525	24	13.88	38.82	11	32959	40	1925.534436
563	101412	34619	36	11.15	49.91	0	20823	33	3205.291107
524	76446	18493	36	9.57	25.72	7	92091	42	6400.512155
825	52556	18230	36	10.04	28.6	29	26442	60	6381.425418
808	114613	45957	36	10.91	32.88	1	9493	38	842.0357216
617	26276	11971	36	9.53	15.65	8	17221	34	7675.441678
570	102565	20504	48	8.27	15.42	15	21575	36	5997.621975
516	42042	48950	24	5.14	34.4	9	99524	40	299.6542046
322	45931	32286	36	14.96	47.58	14	9336	58	3723.787593
723	141717	16116	48	3.46	17.68	5	42933	36	6823.179621
673	43411	16435	36	3.15	24.19	14	4581	39	6761.903547
773	143867	40262	12	3.33	21.85	19	70400	38	1967.454518
333	135886	6089	12	2.71	47.64	32	13894	30	8941.087347
804	27491	49857	36	11.96	29	21	1313	33	61.64994501
567	102711	13894	24	14.66	39.99	12	89234	52	7300.508699
804	73002	44882	36	9.33	42.69	33	44247	34	1044.077481
489	73276	24614	36	11.31	18.97	13	82597	48	5187.11174
321	125373	37581	36	6.37	37.29	12	87640	30	2645.648795
555	140030	17763	24	14.57	16.65	25	5409	57	6532.61235
301	47345	38537	60	9.23	43.26	22	52127	57	2481.83562
453	80504	21920	12	8.33	32.09	29	99976	19	5737.457852
406	49402	29089	12	14.01	19.26	15	39643	21	4330.842715
451	145341	38893	24	10.62	10.52	18	33688	51	2323.199025
307	132718	30227	36	11.31	25.84	3	33760	21	4143.644482
719	59443	30000	36	13.69	23.65	0	8071	35	4043.528682
352	70948	45461	36	5.08	28.07	31	5972	18	1086.553537
540	64623	42650	60	6.22	21.76	11	47657	37	1561.456666
522	42890	42487	36	7.9	12.85	16	98185	66	1576.973543
820	20060	11471	60	10.89	39.52	5	19665	27	7740.408359
691	65186	37779	60	5.95	49.54	7	32888	50	2489.980227
805	76979	29837	48	14.5	40.66	15	7910	57	4066.462663
438	33350	6177	24	3.77	49.7	20	45890	44	8910.189153
341	57380	17576	60	3.55	43.94	26	64471	48	6642.463546
338	134846	33228	48	13.8	38.75	22	21360	26	3520.343445
514	39816	42991	60	10.71	25.69	16	57225	66	1497.096775
824	27314	43908	48	5.52	35.26	22	59635	18	1231.249311
812	142000	42685	60	12.95	34.07	30	2850	27	1483.956148
477	116214	47676	24	2.74	46.28	6	30782	64	585.7797346
757	29847	25074	36	10.95	15.94	24	48367	45	5022.756871
477	38309	7591	36	12.84	19.5	7	32624	54	8571.00127
320	143489	5302	48	11.61	47.06	28	60356	66	9088.537862
625	94137	8384	24	12.16	47.68	25	91228	37	8388.80489
466	107272	44851	60	6.41	26.62	31	18256	39	1174.417998
706	134618	44338	36	7.47	44.02	0	31663	65	1191.840982
552	144988	18395	48	2.52	29.93	33	97037	68	6374.626445
815	78762	44256	12	7.12	43.15	19	49111	42	1174.935156
509	142907	25354	60	8.47	17.97	16	28205	33	5025.796437
530	121757	11588	48	13.56	42.1	16	11767	18	7809.632828
414	145991	8292	24	11.78	15.29	16	93650	38	8471.98321
532	105708	6013	48	7.02	41.28	21	35757	21	8906.913306
495	29516	46779	36	4.62	27.59	4	52066	45	757.9887813
448	137440	46732	24	9.1	43.22	30	555	25	789.3951926
459	87957	36010	48	10.95	43.88	1	59557	29	2961.114496
728	43499	19721	24	3.95	25.26	28	27937	69	6075.05267
519	60600	47891	48	8.79	17.85	15	89367	46	511.2329341
444	33025	34921	24	12.98	36.77	11	94945	36	3146.32179
630	67924	47823	36	4.94	32.96	19	35790	24	514.2247335
336	99273	37117	12	10.83	26.08	23	87362	43	2743.587174
700	73625	30498	48	4.3	28.34	2	14779	36	3954.266879
362	130616	36348	36	11.89	13.25	7	86148	66	2877.631163
322	118656	7539	48	5.58	27.22	24	6895	43	8649.793302
605	56444	41495	12	10.92	13.26	27	94977	28	1772.014618
777	45963	21376	48	7.53	25.67	0	18807	53	5772.818027
576	105680	47828	48	6.35	40.14	5	10929	66	550.220224
811	61844	9437	36	7.86	25.84	33	74656	58	8124.89139
526	33919	19210	48	6.26	31.95	27	55982	38	6251.50088
305	23389	34252	60	2.81	36.84	25	20719	59	3299.056878
635	101121	31526	48	11.53	21.08	6	84585	58	3743.748612
721	148232	47080	24	3.34	14.93	23	46737	23	614.0306224
332	103691	45747	12	12.68	23.08	12	88780	48	1012.021779
446	61235	49517	60	7.24	29.35	31	80907	32	216.6509005
306	84178	20036	48	12.91	21.92	8	82886	54	6164.320936
588	145659	47891	24	7.64	11.56	0	81426	55	493.4225316
604	41195	40144	24	10.97	43.3	27	47708	37	2061.810897
481	49257	35111	12	9.58	29.59	14	2972	26	3121.195284
459	53742	42846	36	2.6	45.01	1	49037	26	1558.847477
338	81246	46991	60	2.68	17.08	27	39339	27	758.1500231
395	47420	25095	12	13.96	23.72	25	45591	37	5125.281421
485	125865	43595	48	11.24	30.23	19	98072	60	1407.10764
766	66828	49912	12	5.93	12.02	5	38169	45	49.75793957
524	119804	15617	12	11.54	48.61	26	5057	69	6991.416454
476	72307	35841	12	13.51	32.7	2	44143	59	2970.780694
818	112124	48404	36	13.72	31.65	24	62257	34	323.9243127
490	147706	15142	48	8.03	46.9	17	7847	29	7092.186844
783	94553	15634	36	10.77	25.91	8	78218	66	6901.364334
701	65500	6171	24	9.94	16.71	8	49961	54	8809.030831
384	139273	14587	24	7.89	10.24	1	68936	60	7232.803648
734	79720	36822	60	3.45	33.81	29	28251	65	2677.828441
353	134187	23037	60	11.99	46.52	3	63230	27	5546.197775
717	20281	13438	24	14.18	45.35	2	75379	27	7376.579616
647	135621	25567	60	3.39	17.85	3	15762	57	4959.408051
465	50707	34545	60	4.44	42.47	4	98682	31	3218.869365
749	101958	44896	36	9.66	28.87	3	46950	47	1046.341626
506	105530	44019	24	6.58	19.87	16	45807	29	1271.933356
649	137832	37373	24	10.19	17.57	9	87132	45	2586.435559
464	86672	11172	24	9.71	15.08	3	29332	22	7890.871026
641	92545	33671	12	11.85	49.58	18	20991	28	3342.286683
759	78606	40196	48	11.06	22.23	4	57196	30	1980.130549
399	49192	11430	24	6.51	33.46	12	31225	58	7848.987784
734	31653	10105	12	7.4	35.26	20	45712	36	8000.068617
